         ps   /tdc_tb/tdc/dm_inst/out_mod      
             /tdc_tb/tdc/dm_inst/out_signal    
  120485000                             0 0 
  120585000                             0 1 
  120685000                             0 0 
  120785000                             0 1 
  120885000                             0 0 
  120985000                             0 1 
  121085000                             0 0 
  121185000                             0 1 
  121285000                             0 0 
  121385000                             0 1 
  121485000                             0 0 
  121585000                             0 1 
  121685000                             0 0 
  121785000                             0 1 
  121885000                             0 0 
  121985000                             0 1 
  122085000                             0 0 
  122185000                             0 1 
  122285000                             0 0 
  122385000                             0 1 
  122485000                             0 0 
  122585000                             0 1 
  122685000                             0 0 
  122785000                             0 1 
  122885000                             0 0 
  122985000                             0 1 
  123085000                             0 0 
  123185000                             0 1 
  123285000                             0 0 
  123385000                             0 1 
  123485000                             0 0 
  123585000                             0 1 
  123685000                             0 0 
  123785000                             0 1 
  123885000                             0 0 
  123985000                             0 1 
  124085000                             0 0 
  124185000                             0 1 
  124285000                             0 0 
  124385000                             0 1 
  124485000                             0 0 
  124585000                             0 1 
  124685000                             0 0 
  124785000                             0 1 
  124885000                             0 0 
  124985000                             0 1 
  125085000                             0 0 
  125185000                             0 1 
  125285000                             0 0 
  125385000                             0 1 
  125485000                             0 0 
  125585000                             0 1 
  125685000                             0 0 
  125785000                             0 1 
  125885000                             0 0 
  125985000                             0 1 
  126085000                             0 0 
  126185000                             0 1 
  126285000                             0 0 
  126385000                             0 1 
  126485000                             0 0 
  126585000                             0 1 
  126685000                             0 0 
  126785000                             0 1 
  126885000                             0 0 
  126985000                             0 1 
  127085000                             0 0 
  127185000                             0 1 
  127285000                             0 0 
  127385000                             0 1 
  127485000                             0 0 
  127585000                             0 1 
  127685000                             0 0 
  127785000                             0 1 
  127885000                             0 0 
  127985000                             0 1 
  128085000                             0 0 
  128185000                             0 1 
  128285000                             0 0 
  128385000                             0 1 
  128485000                             0 0 
  128585000                             0 1 
  128685000                             0 0 
  128785000                             0 1 
  128885000                             0 0 
  128985000                             0 1 
  129085000                             0 0 
  129185000                             0 1 
  129285000                             0 0 
  129385000                             0 1 
  129485000                             0 0 
  129585000                             0 1 
  129685000                             0 0 
  129785000                             0 1 
  129885000                             0 0 
  129985000                             0 1 
  130085000                             0 0 
  130185000                             0 1 
  130285000                             0 0 
  130385000                             0 1 
  130485000                             0 0 
  130585000                             0 1 
  130685000                             0 0 
  130785000                             0 1 
  130885000                             0 0 
  130985000                             0 1 
  131085000                             0 0 
  131185000                             0 1 
  131285000                             0 0 
  131385000                             0 1 
  131485000                             0 0 
  131585000                             0 1 
  131685000                             0 0 
  131785000                             0 1 
  131885000                             0 0 
  131985000                             0 1 
  132085000                             0 0 
  132185000                             0 1 
  132285000                             0 0 
  132385000                             0 1 
  132485000                             0 0 
  132585000                             0 1 
  132685000                             0 0 
  132785000                             0 1 
  132885000                             0 0 
  132985000                             0 1 
  133085000                             0 0 
